CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,acceso_bomberos_km,intersecciones_km2,densidad_vial,tipo_vial_pct,poblacion_total,densidad_pob,viviendas,riesgo_base,ocurrio_incendio,ia_probabilidad_incendio,riesgo_pob_vial,aislamiento_tactico,total_incendios
080370001667A049,8,37,1,667A,49,Urbana,Típica,8.39,0.0,0.0,0.0,6.0,6.0,268,MEDIO,0,0.20178119957477478,0.0,839.0,0
080370001667A081,8,37,1,667A,81,Urbana,Típica,8.38,308.61,92.86,0.0,0.0,0.0,4,MEDIO,0,0.33514912431081306,0.0,0.0902336599547755,0
080370001667A082,8,37,1,667A,82,Urbana,Típica,7.32,0.0,0.0,0.0,0.0,0.0,6,MEDIO,0,0.18483065405352397,0.0,732.0,0
080370001681A001,8,37,1,681A,1,Urbana,Típica,5.76,0.0,0.85,0.0,0.0,0.0,107,ALTO,0,0.49480563448445936,0.0,6.697674418604651,0
0803700016839065,8,37,1,6839,65,Urbana,Típica,3.58,0.0,0.0,0.0,0.0,0.0,8,MEDIO,0,0.2578823250866424,0.0,358.0,0
0803700016839066,8,37,1,6839,66,Urbana,Típica,3.62,0.0,0.0,0.0,0.0,0.0,10,MEDIO,0,0.25639255783142567,0.0,362.0,0
0803700016839067,8,37,1,6839,67,Urbana,Típica,3.66,0.0,0.0,0.0,0.0,0.0,7,MEDIO,0,0.25639255783142567,0.0,366.0,0
0803700016839068,8,37,1,6839,68,Urbana,Típica,3.71,0.0,0.0,0.0,0.0,0.0,10,MEDIO,0,0.25639255783142567,0.0,371.0,0
0803700016839069,8,37,1,6839,69,Urbana,Típica,3.75,0.0,0.0,0.0,0.0,0.0,9,MEDIO,0,0.25639255783142567,0.0,375.0,0
0803700016877017,8,37,1,6877,17,Urbana,Típica,4.2,0.0,0.0,0.0,0.0,0.0,227,ALTO,0,0.2618069176930174,0.0,420.0,0
0803700016877026,8,37,1,6877,26,Urbana,Típica,3.89,0.0,0.0,0.0,0.0,0.0,62,MEDIO,0,0.25639255783142567,0.0,389.0,0
0803700017080066,8,37,1,7080,66,Urbana,Típica,5.95,0.0,148.64,0.0,0.0,0.0,8,ALTO,0,0.3968914750978543,0.0,0.040026908846283224,0
0803700017108092,8,37,1,7108,92,Urbana,Típica,7.6,0.0,0.0,0.0,17.0,17.0,7,MEDIO,0,0.23259431154163426,0.0,760.0,0
